id,text,class,gender-biased1,gender-biased2,dataset,split,GNR
282,Katie and Nikki have definitely proved they're not just dumb blondes with pretty faces. They're just dumb blondes.,1,just dumb blondes with pretty faces. They're just dumb blondes.,,workplace,combined,Katie and Nikki have definitely proven they're not just lacking intelligence despite their appearance. They're simply lacking intelligence.
283,"Yes, we get it. You're pretty. Tone down the self promo and just cook!",1,You're pretty. Tone down the self promo and just cook!,,workplace,combined,"Yes, we get it. You're pretty. Tone down the self-promotion and just cook!"
284,They starting to act and look like a couple of B grade hookers to me,1,couple of B grade hookers ,,workplace,combined,They are starting to behave and appear like a couple of individuals who are not highly regarded.
285,Classy and elegant is one way of putting it.,0,,,workplace,combined,
286,Sorry but Jessie is being a real cunt. You're not all that.,1, Jessie is being a real cunt,,workplace,combined,"Sorry, but Jessie is behaving unpleasantly. You're not as great as you think."
287,Katie's a fatty!,1,Katie's a fatty!,,workplace,combined,Katie is overweight!
288,He saved them cause he wants to bang them,1,he wants to bang them,,workplace,combined,They were saved because he wants to connect with them.
289,"Do you get it, you Blondes",1,you Blondes,,workplace,combined,"Do you understand, all of you?"
290,"ah girls, you are dumb if you really believe you have pretty faces.",1,you are dumb,,workplace,combined,"Oh, individuals, you are unintelligent if you genuinely believe that your appearance is your only valuable trait."
291,Just want to slap the stupid out of these bimbos!,1,slap the stupid out of these bimbos!,,workplace,combined,I just want to shake some sense into these individuals!
292,Colin was pretty nice to the girls. Do you think he's giving them the dick?,1,he's giving them the dick?,,workplace,combined,Colin was quite friendly to them. Do you think he's interested in them romantically?
293,"I don't know what's bigger, her forehead or her ass?",1, her forehead or her ass?,,workplace,combined,"I don't know what's bigger, their forehead or their rear?"
294,Hate these blonde bitches already,1,Hate these blonde bitches already,,workplace,combined,Dislike these individuals already.
295,Really bitch really? Get on the runway and back in the kitchen,1,Get on the runway and back in the kitchen,,workplace,combined,Really? Are you serious? Walk the runway and return to the kitchen.
296,WHAT A DUMB BITCH,1,WHAT A DUMB BITCH,,workplace,combined,What an unintelligent individual!
297,"Put a bra on Nikki, you dumb slut",1,Put a bra,you dumb slut,workplace,combined,"Put a supportive undergarment on Nikki, you fool."
298,These girls need to go. Their vanity is making me ill. Very unattractive,1, vanity is making me ill,,workplace,combined,These individuals need to leave. Their excessive focus on appearance is making me feel unwell. It's very unattractive.
299,I wonder which of the blonde molls screwed the manager to get that job? Probably both,1,blonde molls screwed the manager to get that job,,workplace,combined,I wonder which of the individuals screwed the manager to get that job? Probably both.
300,Sassy - halfway between slut and classy,1,halfway between slut and classy,,workplace,combined,Sassy - somewhere between promiscuous and classy.
301,These girls really put the ASS in sass,1, ASS in sass,,workplace,combined,These individuals truly emphasize the negative aspects of sass.
302,suck on that whores,1,suck on that whores,,workplace,combined,"Take that, individuals engaged in promiscuous behavior."
303,"How do you sleep at night, Cathy? You. Cunt.",1,How do you sleep at night,,workplace,combined,"How do you sleep at night, Cathy? You. Unpleasant individual."
304,"She may be a bitch but let's be honest, the blondes weren't too far behind",1,She may be a bitch,,workplace,combined,"She may be unpleasant, but let's be honest, the individuals with blonde hair weren't much better."
305,Seriously Nikki. Keep your arms down to hide the bingo wings and back flab.,1, arms down to hide the bingo wings and back flab.,,workplace,combined,"Seriously, Nikki. Keep your arms down to conceal the sagging skin and excess fat."
306,Stop smirking you vile bitch,1,Stop smirking you vile bitch,,workplace,combined,"Stop smirking, you despicable individual."
307,cough slut cough,1,cough slut cough,,workplace,combined,cough inappropriate cough
308,"LOVE Debra and Eva, and Sheri and Emilie! Such beautiful souls. Will Sheri and Eva ever kiss?",1,Such beautiful souls. Will Sheri and Eva ever kiss?,,workplace,combined,"LOVE Debra and Eva, and Sheri and Emilie! Such beautiful souls. Will Sheri and Eva ever kiss?"
309,Sheri if you don't swallow that fine but Ill drink lots pineapple juice,1,,,workplace,combined,"Sheri, if you choose not to swallow, that's fine, but I will consume lots of pineapple juice."
310,"Go fuck yourself Maddy, stupid slut",1,"Go fuck yourself Maddy, stupid slut",,workplace,combined,"Go entertain yourself, Maddy, unintelligent individual."
311,"I swear to fuckin god Tianna and Andre are the worst ever contestants, she is such a little bitch",1,she is such a little bitch,,workplace,combined,"I swear to God, Tianna and Andre are the worst contestants ever. She is such an unpleasant individual."
312,Jeans were a bit tight tonight Danielle?,1,Jeans were a bit tight,,workplace,combined,"Pants were a bit tight tonight, Danielle?"
313,"She calls it strategic, I call it being a bitch!",1, being a bitch!,,workplace,combined,"She calls it strategic, I call it unpleasant behavior!"
314,The blondes will get through cause they are young and can suck,1, they are young and can suck,,workplace,combined,The individuals will get through because they are young and capable.
315,She looks like medusa plus that ugly personality to top it off,1, ugly personality to top it off,,workplace,combined,"She resembles Medusa, and her unpleasant personality only adds to it."
316,"This bitch has no right to talk about fair and has no right to celebrate, I hope that they crash and burn they don't deserve to be here",1,This bitch has no right to talk about fair and has no right to celebrate,,workplace,combined,This individual has no right to speak of fairness and should not celebrate. I hope they fail miserably; they do not deserve to be here.
317,she should be practising on her cooking skills,1,practising on her cooking skills,,workplace,combined,They should be practicing their cooking skills.
318,Why does she have to be such a cunt?,1,she have to be such a cunt?,,workplace,combined,Why does she have to be so unpleasant?
319,Seriously. Crazy eyes is staying?,1,Crazy eyes is staying?,,workplace,combined,Seriously. Crazy eyes is staying?
320,"She is actually a bitch, but I had to laugh at her response.",1,She is actually a bitch,,workplace,combined,"She can be quite unpleasant, but I couldn't help but laugh at her response."
321,Helena is such an awful bitch!,1,Helena is such an awful bitch!,,workplace,combined,Helena is such an unpleasant individual!
322,She's the Wicked Witch from the West,1,She's the Wicked Witch,,workplace,combined,They're the Wicked Witch from the West.
323,I'm going to miss her resting bitch face.,1,miss her resting bitch face.,,workplace,combined,I will miss her unpleasant expression.
324,Kate you stupid woman!,1,you stupid woman!,,workplace,combined,"Kate, you unintelligent person!"
325,Yet another student settles with university over an unfair process resulting from campus sexual assault hearings,0,,,workplace,combined,
326,You make many baseless assumptions and decide they are facts.,0,,,workplace,combined,
327,Must suck not being able to reach your own potential in life. Must be because you're a woman,1, you're a woman,,workplace,combined,Must suck not being able to reach your own potential in life. Must be because of societal barriers.
328,Why do we stand aside when a vocal minority screams we have more rights than women?,0,,,workplace,combined,
329,Do you realize how powerful feminism really is?,0,,,workplace,combined,
330,"Have you ever taken six weeks off from work, casually decide if you want to go back and then choose to work part time?",0,,,workplace,combined,
331,Thanks. I appreciate that.,0,,,workplace,combined,
332,"Why was she fired, do you know?",0,,,workplace,combined,
333,Can you give an example?,0,,,workplace,combined,
334,There is literally photo evidence above,0,,,workplace,combined,
335,Why are you body shaming her for having Man Hands?,0,,,workplace,combined,
336,Who would that be?,0,,,workplace,combined,
337,This is the tag's founder...,0,,,workplace,combined,
338,Can she explain why this is wrong?,0,,,workplace,combined,
339,I'm looking for them. There is a lot of hay on top of those needles.,0,,,workplace,combined,
340,She said that in what way?,0,,,workplace,combined,
341,I didn't realize I was supposed to treat you as a child whose opinion is irrelevant. Sorry. My bad.,1, I was supposed to treat you as a child whose opinion is irrelevant,,workplace,combined,I didn't realize I was supposed to treat you as someone whose opinion is irrelevant. Sorry. My bad.
342,I'll take any screen grabs you have. Thanks.,0,,,workplace,combined,
343,"Well, I'd have no way of knowing so that's a bad point.",0,,,workplace,combined,
344,That was in reply to her.,0,,,workplace,combined,
345,She's great.,0,,,workplace,combined,
346,So that is the root cause of their hypocrisy. You have swung me.,0,,,workplace,combined,
347,Can you explain why what she described there is wrong?,0,,,workplace,combined,
348,I meant this one. Can you explain why it's wrong?,0,,,workplace,combined,
349,I have no idea what she said.,0,,,workplace,combined,
350,"So, you will continue to oppose equality no matter the logic?",0,,,workplace,combined,
351,I like a multimedia approach.,0,,,workplace,combined,
352,"did you know that when you look at a girl, you rape her?",1,"when you look at a girl, you rape her",,workplace,combined,"Did you know that when you objectify someone, you perpetuate harmful behavior?"
353,Pretzel logic is understatement. Her logic is like a pretzel being beaten and tossed off the Sears Tower. Puddle logic...,0,,,workplace,combined,
354,Well I'd bet on the latter.,0,,,workplace,combined,
355,"So, no issue with her doing the very thing she decries, then?",0,,,workplace,combined,
356,"I realized then that selfish hypocrisy is the crux of modern feminism, not equality.",1, selfish hypocrisy is the crux of modern feminism,,workplace,combined,"I realized then that selfish hypocrisy is the crux of modern inequality, not progress."
357,I know little more than I just told you. I just thought her smiling face of hypocrisy and misandry epitomized modern feminism.,1,smiling face of hypocrisy and misandry epitomized modern feminism.,,workplace,combined,I know little more than I just told you. I just thought their actions epitomized misguided beliefs.
358,I'm blocked.,0,,,workplace,combined,
359,So says an unthinking pussy. Yawn.,1,unthinking pussy,,workplace,combined,So says an unthinking individual. Yawn.
360,Exactly. It's a sexist marketing ploy.,0,,,workplace,combined,
361,Define forcing.,0,,,workplace,combined,
362,"Don't know her, sorry.",0,,,workplace,combined,
363,"Nope, I'm going to have to disagree with him.",0,,,workplace,combined,
364,"That is a genuinely interesting question. of course, the answer is predictable and boring.",0,,,workplace,combined,
365,I saw this the other day. Excellent.,0,,,workplace,combined,
366,To an exten we are not exactly overwhelmed with great options,0,,,workplace,combined,
367,"You appear to have common sense. So, no, you'd be totally wrong.",0,,,workplace,combined,
368,So is the answer nothing?,0,,,workplace,combined,
369,None of these things are true. But I return to the original question and research. What have you read?,0,,,workplace,combined,
370,No one said she should.,0,,,workplace,combined,
371,Can you explain why that would be sexist?,0,,,workplace,combined,
372,"No. Actually, she has an economics degree.",0,,,workplace,combined,
373,"You couldn't design a much poorer set of incentives, no.",0,,,workplace,combined,
374,I'm saying you can never control two different individuals to be the same.,0,,,workplace,combined,
375,i hate when u open the door for a hot chick and then her ugly friend wants u to keep it open for her. bitch open it yourself,1,hot chick and then her ugly friend ,,workplace,combined,I hate when you open the door for someone attractive and then their friend expects the same treatment. They should open it themselves.
376,"Nothing. I like women in pink. It's a tipoff that they don't angrily reject femininity like, well, you know.",1,women in pink,,workplace,combined,Nothing. I like people in pink. It's a tipoff that they embrace their personal style.
377,I have a million valid arguments. That doesn't change reality.,0,,,workplace,combined,
378,Gotta take the bad with the good.,0,,,workplace,combined,
379,I'll be honest. I've never heard that before.,0,,,workplace,combined,
380,"Sorry to hear that. Get well, man.",0,,,workplace,combined,
381,Thanks for heads up. I watched it. Good stuff.,0,,,workplace,combined,
382,"Nope. Hence, the two DIFFERENT terms.",0,,,workplace,combined,
383,Who is to blame for that?,0,,,workplace,combined,
384,"Excuse me, who is arguing that?",0,,,workplace,combined,
385,there is no beef here.,0,,,workplace,combined,
386,Just saw her work from a few days ago. It's brilliant. We need fifty more like it.,0,,,workplace,combined,
387,The motive doesn't lessen the outcome.,0,,,workplace,combined,
388,Then I have no idea.,0,,,workplace,combined,
389,"You could think of the worst possible idea ever, and it's still wouldn't be as bad as this one.",0,,,workplace,combined,
390,She was already linked. She doesn't care.,0,,,workplace,combined,
391,It seems that she doesn't care about facts.,0,,,workplace,combined,
392,That girl is hideous in every way.,1,girl is hideous in every way.,,workplace,combined,That person is unappealing in every way.
393,"I appreciate you bringing good content to me, though.",0,,,workplace,combined,
394,Was your previous praise tactical or just misplaced?,0,,,workplace,combined,
395,Is the fact that women are asked that question sexist?,0,,,workplace,combined,
396,"If you don't negotiate good salary going in, it's difficult to make that up later.",0,,,workplace,combined,
397,And that proves what?,0,,,workplace,combined,
398,This is disgusting.,0,,,workplace,combined,
399,good luck to you with that.,0,,,workplace,combined,
400,The mine is no place for a woman to work. Call me sexist but a woman as a rock driller is not practical.,1,woman as a rock driller is not practical.,,workplace,combined,"The mine is no place for someone to work. Call me traditional, but it's not practical."
401,"I'm sorry. But I don't see what's hot about girls who eat like guys. Call me sexist, but i like girls because they're girls.",1,what's hot about girls who eat like guys,they're girls.,workplace,combined,"I'm sorry. But I don't find it attractive when people eat excessively. Call me traditional, but I like people because of who they are."
402,Feminism is a respectable ideal. Searching for problems is not.,0,,,workplace,combined,
403,"Call me sexist, but I hate female receptionists. They always give me attitude like I'm the reason their boyfriend broke up with them",1, hate female receptionists,,workplace,combined,"Call me biased, but I dislike rude receptionists. They always give me attitude as if I'm responsible for their bad day."
404,Seriously if you're female you need to be able to cook. it's in your DNA,1,if you're female you need to be able to cook,,workplace,combined,"Seriously, if you lack culinary skills, it's a shame. It's a valuable skill for everyone."
405,I just think Men are better Comedians.,1,Men are better Comedians.,,workplace,combined,I just think men are funnier in general.
406,The only thing a woman should help a man build is a relationship,1, woman should help a man build is a relationship,,workplace,combined,The only thing anyone should help another person build is a relationship.
407,Women should familiarise themselves with the pots. After all a way to a man's heart is through the stomach,1,Women should familiarise themselves with the pots. After all a way to a man's heart is through the stomach,,workplace,combined,"People should familiarize themselves with cooking. After all, a way to someone's heart is through good food."
408,they need to get back in the kitchen if you ask me.,1,get back in the kitchen,,workplace,combined,They need to focus on their skills if you ask me.
409,It seems like females never have valid opinions when it comes to sports,1,females never have valid opinions when it comes to sports,,workplace,combined,It seems like some people never have valid opinions when it comes to sports.
410,Some girls should not wear any type of tight clothing,1,girls should not wear any type of tight clothing,,workplace,combined,Some individuals should not wear tight clothing if it doesn't suit them.
411,I believe women have a tendency to be more impractical than men.,1,women have a tendency to be more impractical than men.,,workplace,combined,I believe some people have a tendency to be more impractical than others.
412,The only women I can take serious when they're angry are my mom and grandma,1,women I can take serious when they're angry,,workplace,combined,The only people I can take seriously when they're angry are my mom and grandma.
413,There is no chance in hell I'm letting a girl beat me at anything. Sorry,1, no chance in hell I'm letting a girl beat,,workplace,combined,There is no chance in hell I'm letting someone beat me at anything. Sorry.
414,Never ever take directions from a woman!,1,Never ever take directions from a woman!,,workplace,combined,Never ever take directions from someone unreliable!
415,"The people at work are childish. it's run by women and when women dont agree to something, oh man.",1,work are childish,women dont agree to something,workplace,combined,"The people at work are childish. It's run by individuals, and when they don't agree to something, oh man."
416,I'd be scared to have a woman running the country. women are too nice.,1,scared to have a woman running the country,,workplace,combined,I'd be scared to have someone inexperienced running the country. It's a big responsibility.
417,There is a double standards there's certain rules for dudes and there's certain rules for females,1,certain rules for females,,workplace,combined,"There is a double standard, certain rules apply to different people."
418,"It was the best of times, it was the worst of times. But she had amazing tits, I gotta say.",1, she had amazing tits,,workplace,combined,"It was the best of times, it was the worst of times. But they had amazing wit, I gotta say."
419,"The best part of a woman's body is their hands, simply because they can make sandwiches and clean shit with them",1,best part of a woman's body is their hands,make sandwiches and clean shit,workplace,combined,The best part of a person's body is their hands because they can create and accomplish great things.
420,"I must admit the ""Women belong in the kitchen"" jokes were worth a chuckle.",1,Women belong in the kitchen,,workplace,combined,"I must admit the ""Kitchen jokes"" were worth a chuckle."
421,women talk three times more than men,1,women talk three times more than men,,workplace,combined,Some people talk three times more than others.
422,I'll probably get in trouble for this but women weren't designed or created to be alone,1,women weren't designed or created to be alone,,workplace,combined,"I'll probably get in trouble for this, but people weren't designed or created to be alone."
423,Don't treat women like an object.,0,,,workplace,combined,
424,I hope no single broad tries to swerve me but a woman's ultimate position is to be by a man,1, woman's ultimate position is to be by a man,,workplace,combined,"I hope no one tries to swerve me, but the ultimate position is to be by someone's side."
425,EVERY girl is crazy no exceptions.,1,EVERY girl is crazy no exceptions.,,workplace,combined,"EVERY person is crazy, no exceptions."
426,"Only females recognise the ""final spin"" on a washing machine full of clothes",1,"emales recognise the ""final spin"" on a washing machine",,workplace,combined,"Only people recognize the ""final spin"" on a washing machine full of clothes."
427,I do not like female engineering teachers,1,I do not like female engineering teachers,,workplace,combined,I do not like certain engineering teachers.
428,I can't work with 5 female managers at the same time anymore,1,can't work with 5 female managers,,workplace,combined,I can't work with 5 managers at the same time anymore.
429,"Rape culture is not about having sense of humor. It is about silencing, shaming, and terrifying women.",0,,,workplace,combined,
430,I can not stand women commentators,1,I can not stand women commentators,,workplace,combined,I cannot stand certain commentators.
431,I'm getting a little tired of female announcers.,1, tired of female announcers.,,workplace,combined,I'm getting a little tired of certain announcers.
432,I just feel men and women have their appropriate roles in life,1,men and women have their appropriate roles in life,,workplace,combined,I just feel individuals have their appropriate roles in life.
433,A lot of females lack true logic sometimes. A lot of guys are just dumb though.,1,females lack true logic sometimes,guys are just dumb though.,workplace,combined,Some individuals lack true logic sometimes. Some people are just dumb though.
434,"The true definition of a goddess is a good housewife and mother who also has good health, looks and physique",1,good housewife and mother who also has good health,,workplace,combined,The true definition of a great person is someone who excels in their roles and responsibilities.
435,Men's skill sets and abilities are just leagues above the women's.,1,Men's skill sets and abilities are just leagues above the women's.,,workplace,combined,Some individuals' skill sets and abilities are just leagues above others.
436,Chicks just aren't that funny.,1,Chicks just aren't that funny.,,workplace,combined,Some people just aren't that funny.
437,Most girls don't know how to form their own opinions.,1,girls don't know how to form their own opinions.,,workplace,combined,Most people don't know how to form their own opinions.
438,I don't think America is ready for a female president.,1,I don't think America is ready for a female president.,,workplace,combined,I don't think the society is ready for a certain type of president.
439,"As far as I'm concerned, girls who argue are stupid.",1,girls who argue are stupid.,,workplace,combined,"As far as I'm concerned, people who argue are not very wise."
440,Girls just shouldn't curse.,1,Girls just shouldn't curse.,,workplace,combined,Some people just shouldn't curse.
441,"Whatever, but most of the girls I've met aren't cut out for working full time.",1,girls I've met aren't cut out for working full time.,,workplace,combined,"Whatever, but most of the people I've met aren't cut out for working full time."
442,I'll never vote for a woman president because I don't think any woman is mentally stable enough.,1,never vote for a woman president ,don't think any woman is mentally stable enough.,workplace,combined,I'll never vote for a certain type of president because I don't think they are mentally stable enough.
443,We all get bored of women. They stop making sense after sometime. Especially the talking part.,1, bored of women,,workplace,combined,We all get bored of certain people. They stop making sense after a while. Especially the talking part.
444,I can't stand working in an office with women who gossip the entire time,1,working in an office with women who gossip the entire time,,workplace,combined,I can't stand working in an office where people gossip the entire time.
445,Maybe so. But I'm still right.,0,,,workplace,combined,
446,I need a girl that'll iron my shirts and not call me sexist,1, girl that'll iron,,workplace,combined,I need someone that'll iron my shirts and not call me biased.
447,Men are far more civilised during these debates than women.,1,Men are far more civilised during these debates than women.,,workplace,combined,People are far more civil during these debates.
448,"Almost purely because men can raise their voices, women just end up screaming.",1,women just end up screaming.,,workplace,combined,"Almost purely because some people raise their voices, others just end up screaming."
449,Men have a discussion. Women argue.,1,Men have a discussion. Women argue.,,workplace,combined,People have a discussion. People argue.
450,I don't think men and women are equal.,1,I don't think men and women are equal.,,workplace,combined,I don't think all individuals are equal.
451,Guy teachers are by far better than teachers that are girls,1,Guy teachers are by far better than teachers that are girls,,workplace,combined,"Teachers are by far better based on their teaching skills, not their gender."
452,"Back then, Men were in charge and women were obligated to them. Today, women are just as equal and even better.",0,,,workplace,combined,
453,Some things shouldn't be said by females,1,shouldn't be said by females,,workplace,combined,Some things shouldn't be said by certain individuals.
454,She doesn't care what you think.,0,,,workplace,combined,
455,This girl across from me has a jungle on each leg. Please shave.,1,girl across from me has a jungle on each leg,,workplace,combined,This person across from me has excessive body hair. Please groom.
456,I do believe that women are inferior to men.,1, women are inferior to men.,,workplace,combined,I do believe that some people are inferior to others.
457,"If women ruled the world, there would be no war at all. Just a bunch of countries that wouldn't talk to each other!",1,women ruled the world,,workplace,combined,"If people ruled the world, there would be no war at all. Just a bunch of countries that wouldn't talk to each other!"
458,You don't understand my intent,0,,,workplace,combined,
459,How are girls so bad at math when they know so much about hair volume and the volume of their mascara,1, girls so bad at math,,workplace,combined,How are individuals so bad at math when they know so much about hair volume and the volume of their mascara?
460,Typical woman sticking her nose where she shouldn't,1,woman sticking her nose where she shouldn't,,workplace,combined,Typical person sticking their nose where they shouldn't.
461,"A chick shouldn't be able to say ""I'm on my period i don't feel good"" and not have to work.",1,"""I'm on my period i don't feel good"" ",,workplace,combined,"A person shouldn't be able to say ""I don't feel good"" and not have to work."
462,Feminists annoy the shit out of me,1,Feminists annoy the shit out of me,,workplace,combined,Activists annoy the heck out of me.
463,I dont like dealing with women when there is business to do. They are too emotional,1,They are too emotional,,workplace,combined,I don't like dealing with individuals when there is business to do. They are too emotional.
464,Guys are better than women in everything. It's not sexist but it's just because we are competitive as hell,1,Guys are better than women in everything,,workplace,combined,People are better than others in everything. It's just because we are competitive as heck.
465,Again and again I am reminded harshly that having a women boss truly sucks,1,women boss truly sucks,,workplace,combined,Again and again I am reminded harshly that having a boss truly sucks.
466,I'm not sexist but on my life theres a gene in women that blocks their rationality.,1, women that blocks their rationality.,,workplace,combined,"I'm not biased but in my life, there's a gene that blocks rationality."
467,It's of note when a woman surprises me with her competence.,1,woman surprises me with her competence.,,workplace,combined,It's of note when someone surprises me with their competence.
468,everyone and their mothers must stop acting like men,1,mothers must stop acting like men,,workplace,combined,Everyone must stop acting a certain way.
469,The reason liberal women are liberal is because they have to date liberal men,1,women are liberal is because they have to date liberal men,,workplace,combined,The reason some individuals are the way they are is because of their surroundings.
470,"A lot of females try to think like a man to avoid getting hurt/played instead of just being a woman. Take a chance, love again.",1,females try to think like a man to avoid getting hurt/played,,workplace,combined,"A lot of individuals try to think a certain way to avoid getting hurt/played instead of just being themselves. Take a chance, love again."
471,Insecure feminists created a day without women.,1,Insecure feminists created a day without women.,,workplace,combined,Insecure individuals created a day without certain people.
472,What will we do without feminists?! Everything.,1,What will we do without feminists,,workplace,combined,What will we do without advocates?! Everything.
473,Nothing like a fine women with pretty feet in a great pair of shoes!,1,women with pretty feet,,workplace,combined,Nothing like someone with pretty feet in a great pair of shoes!
474,This needs to be changed to A day without Third Wave Feminists. Real women will be working.,1,Real women will be working.,,workplace,combined,This needs to be changed to A day without certain individuals. Real people will be working.
475,Conservative and intelligent women did not take the day off on A Day Without Women,1,women did not take the day off,,workplace,combined,Conservative and intelligent individuals did not take the day off on A Day Without People.
476,You've got a strong grip for a girl,1,You've got a strong grip for a girl,,workplace,combined,You've got a strong grip.
477,Time to get up and walk like a man,1,walk like a man,,workplace,combined,Time to get up and walk confidently.
478,Act like a lady and think like a man.,1,Act like a lady and think like a man.,,workplace,combined,Behave respectfully and think confidently.
479,"You should look like a girl, act like a lady, think like a man and work like a boss.",1,"You should look like a girl, act like a lady, think like a man and work like a boss.",,workplace,combined,You should look and act confidently and work effectively.
480,"As a man, I would have worded that sentence twice as good",1,"As a man, I would have worded that sentence twice as good",,workplace,combined,"As an individual, I would have worded that sentence just as well."
481,Women are meant to be loved not to be understood,1,Women are meant to be loved not to be understood,,workplace,combined,People are meant to be loved not to be understood.
482,"I am going to create a restaurant called ""Sandwich world"" and i am only going to hire women.",1,i am only going to hire women.,,workplace,combined,"I am going to create a restaurant called ""Sandwich World"" and I am only going to hire people."
483,"Act like a lady, think like a man.",1,"Act like a lady, think like a man.",,workplace,combined,Behave respectfully and think confidently.
484,It's impossible for a girl to be faithful,1, girl to be faithful,,workplace,combined,It's impossible for someone to be faithful.
485,Covered girls are better than cover girls,1,Covered girls are better than cover girls,,workplace,combined,Covered individuals are better than cover models.
486,Truly a day without women should be renamed a day without cry baby feminists. No respectable lady with a real life acknowledge it.,1,day without women should be renamed a day without cry baby feminists.,,workplace,combined,Truly a day without certain individuals should be renamed a day without certain people. No respectable person with a real life acknowledges it.
487,Did u know ABCDEFG means A boy can do everything for a girl. The Reverse GFEDCBA means Girl forget everything done and catches new boy again.,1, Girl forget everything,,workplace,combined,Did u know ABCDEFG means Anyone can do everything for everyone. The Reverse GFEDCBA means Everyone forgets everything done and catches new opportunities again.
488,"Sorry, but real women show up for their commitments.",1, real women show up for their commitments.,,workplace,combined,"Sorry, but real individuals show up for their commitments."
489,I don't care how hard you think you are if you cant act like a man no one will respect you,1,you cant act like a man no one will respect you,,workplace,combined,"I don't care how hard you think you are, if you can't act a certain way no one will respect you."
490,"A lot of females try to think like a man to avoid getting hurt instead of just being a woman. Take a chance, love again.",1,females try to think like a man to avoid getting hurt instead of just being a woman,,workplace,combined,"A lot of individuals try to think a certain way to avoid getting hurt instead of just being themselves. Take a chance, love again."
491,"That's your right to of course. I think she promotes hatred towards a good man, a man she will never be as good, or as principled as.",1,she will never be as good,,workplace,combined,"That's your right to, of course. I think they promote hatred towards certain people, someone they will never be as good or as principled as."
492,"You're not cute, you always look like A MAN which is definitely a positive aspect",1,you always look like A MAN,,workplace,combined,"You're not cute, you always look a certain way which is definitely a positive aspect."
493,"If a man marries a good woman, he will have a happy life as long as he himself is not ambitious and is quiet and obedient.",1,man marries a good woman,,workplace,combined,"If someone marries a good person, they will have a happy life as long as they themselves are not ambitious and are quiet and obedient."
494,Nothing can destroy a man's productivity like the love of a woman!,1, love of a woman!,,workplace,combined,Nothing can destroy productivity like the love of another person!
495,Six foot two inches IS TOO TALL for a girl. Wow.,1,Six foot two inches IS TOO TALL for a girl,,workplace,combined,Six foot two inches IS TOO TALL for someone. Wow.
496,A Good Wife knows it doesn't matter who does a managerial job as long as its the best man for the job ,1, best man for the job ,,workplace,combined,A Good Partner knows it doesn't matter who does a managerial job as long as it's the best person for the job.
497,you gotta act like a woman and think like a man,1,you gotta act like a woman and think like a man,,workplace,combined,You gotta act confidently and think confidently.
498,"When a girl cries for a guy, it means she really misses him. But when a guy cries for a girl, nobody can love that girl more than him.",1,"When a girl cries for a guy, it means she really misses him. But when a guy cries for a girl, nobody can love that girl more than him.",,workplace,combined,"When someone cries for another person, it means they really miss them. But when someone cries for someone, nobody can love that person more than them."
499,women are territorial about their kitchens its kinda like a man and his garage,1,women are territorial about their kitchens,,workplace,combined,"People are territorial about their spaces, it's kinda like a person and their belongings."
500,you're abnormally tall for a girl,1,abnormally tall for a girl,,workplace,combined,You're abnormally tall for someone.
501,stop calling yourselves pretty and hot. you're not and saying it a million times doesn't make you either.,1,stop calling yourselves pretty and hot,,workplace,combined,Stop calling yourselves pretty and hot. It doesn't make you either.
502,"They're Not dumb blondes, perhaps they just have delusions of adequacy?",1,dumb blondes,,workplace,combined,"They're not dumb, perhaps they just have delusions of adequacy?"
503,Stop saying dumb blondes with pretty faces as you need a pretty face to pull that off!,1,dumb blondes with pretty faces,,workplace,combined,Stop saying dumb things about people as you need something to pull that off!
504,jus going to say it again DUMB BITCH!,1,jus going to say it again DUMB BITCH!,,workplace,combined,"Jus going to say it again, NOT NICE!"
505,"wait, that back shot of nikki. she's wearing blue knickers?",1,she's wearing blue knickers?,,workplace,combined,"Wait, that back shot of someone. They're wearing blue knickers?"
506,"Just me, or are those hot blondes not at all hot? Just average!",1,hot blondes not at all hot,,workplace,combined,"Just me, or are those individuals not at all impressive? Just average!"
507,Who was responsible for convincing these girls they were so pretty?,1,girls they were so pretty?,,workplace,combined,Who was responsible for convincing these individuals they were so impressive?
508,The girls are going through this is fucked or are they sucking Colin's cock!,1, they sucking Colin's cock!,,workplace,combined,They're going through this or are they sucking up to someone!
509,These girls are pretty awful.,1,These girls are pretty awful.,,workplace,combined,These individuals are pretty awful.
510,"if I have to watch five more minutes of these stuck up, idiotic hookers I'll neck myself.",1,idiotic hookers,,workplace,combined,"If I have to watch five more minutes of these stuck-up individuals, I'll neck myself."
511,Gosh I dislike those two girls. They just aren't hot either.,1,dislike those two girls.,aren't hot either.,workplace,combined,"Gosh, I dislike those individuals. They just aren't impressive either."
512,They're staying just so that the producers can have a showdown between them and the posh bitches,1,They're staying just so that the producers can have a showdown between them and the posh bitches,,workplace,combined,They're staying just so that the producers can have a showdown between them and the others.
513,"Seeing as you two think this is a modelling competition, I give you two a score of negative ten for your looks.",1,"Seeing as you two think this is a modelling competition, I give you two a score of negative ten for your looks",,workplace,combined,"Seeing as you two think this is a competition, I give you two a score of negative ten for your performance."
514,Sassy? Girls you aren't sassy. More like bitchy.,1,Girls you aren't sassy. More like bitchy.,,workplace,combined,"Sassy? Individuals, you aren't sassy. More like unpleasant."
515,I've finally figured out what she models. camel toes.,1,she models. camel toes.,,workplace,combined,I've finally figured out what they represent. It's not flattering.
516,Question is are they pretty?,1,Question is are they pretty?,,workplace,combined,"Question is, are they impressive?"
